seqnames	start	end	width	strand	name	chromROM	other_name	fid	chromBY	startn	endn	startnSY	endnSY	chromSY	chr	startsc1	endsc1	othernames	status	newname	rif1_Hafner	rif1RBM	fkh1fkh2_Knott	ctf19_Natsume
CP026296.1	255046	255291	246	+	ARS209	chrII	ARS209	42	CP026296.1	255046	255291	6685859	6686104	CP029160.1	chr2	254890	255136	ARSH4, proARS209	Confirmed	ARS209	null	null	null	null
CP026296.1	258586	259756	1171	+	Likely_chrII_3	chrII	proARS210	43	CP026296.1	258586	259756	6689399	6690569	CP029160.1	chr2	258430	259601	proARS210	Likely	Likely_chrII	null	null	NA	null
CP026296.1	263134	270128	6995	+	Dubious_chrII_7	chrII	NA	44	CP026296.1	263134	270128	6693947	6700941	CP029160.1	chr2	262978	269978	NA	Dubious	Dubious_chrII	NA	NA	null	null
CP026296.1	279232	279995	764	+	Dubious_chrII_8	chrII	NA	45	CP026296.1	279232	279995	6710047	6710810	CP029160.1	chr2	279083	279847	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	283164	284061	898	+	ARS210.5	chrII	ARS210.5	46	CP026296.1	283164	284061	6713979	6714876	CP029160.1	chr2	283015	283913	NA	Confirmed	ARS210.5	NA	NA	null	null
CP026296.1	293003	294202	1200	+	Dubious_chrII_9	chrII	NA	47	CP026296.1	293003	294202	6723818	6725017	CP029160.1	chr2	292854	294054	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	296149	306147	9999	+	Dubious_chrII_10	chrII	NA	48	CP026296.1	296149	306147	6726964	6736963	CP029160.1	chr2	296000	306000	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	308554	309753	1200	+	Dubious_chrII_11	chrII	NA	49	CP026296.1	308554	309753	6739370	6740569	CP029160.1	chr2	308406	309606	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	326245	326480	236	+	ARS211	chrII	ARS211	50	CP026296.1	326245	326480	6757062	6757297	CP029160.1	chr2	326099	326335	proARS211	Confirmed	ARS211	act	null	null	null
CP026296.1	342065	343264	1200	+	Dubious_chrII_12	chrII	NA	51	CP026296.1	342065	343264	6772882	6774081	CP029160.1	chr2	341918	343118	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	359043	374042	15000	+	Dubious_chrII_13	chrII	NA	52	CP026296.1	359043	374042	6789862	6804860	CP029160.1	chr2	358898	373898	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	378579	379338	760	+	ARS212	chrII	ARS212	53	CP026296.1	378579	379338	6809397	6810156	CP029160.1	chr2	378434	379194	proARS212	Confirmed	ARS212	NA	NA	rep	null
CP026296.1	389392	390513	1122	+	ARS213	chrII	ARS213	54	CP026296.1	389392	390513	6820211	6821332	CP029160.1	chr2	389245	390368	proARS213	Confirmed	ARS213	NA	NA	null	null
CP026296.1	407977	408209	233	+	ARS214	chrII	ARS214	55	CP026296.1	407977	408209	6838796	6839028	CP029160.1	chr2	407831	408064	proARS214	Confirmed	ARS214	null	null	null	null
CP026296.1	417884	418179	296	+	ARS215	chrII	ARS215	56	CP026296.1	417884	418179	6848704	6848999	CP029160.1	chr2	417739	418035	proARS215	Confirmed	ARS215	NA	NA	null	null
CP026296.1	441004	441841	838	+	ARS215.5	chrII	ARS215.5	57	CP026296.1	441004	441841	6871823	6872660	CP029160.1	chr2	440859	441697	NA	Confirmed	ARS215.5	NA	NA	NA	null
CP026296.1	473433	474916	1484	+	Dubious_chrII_14	chrII	NA	58	CP026296.1	473433	474916	6904258	6905741	CP029160.1	chr2	477783	479267	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	482311	482558	248	+	ARS216	chrII	ARS216	59	CP026296.1	482311	482558	6913136	6913383	CP029160.1	chr2	486661	486909	proARS216	Confirmed	ARS216	null	null	act	null
CP026296.1	493300	494999	1700	+	Likely_chrII_4	chrII	ARSII_499	60	CP026296.1	493300	494999	6924125	6925824	CP029160.1	chr2	497650	499350	NA	Likely	Likely_chrII	NA	NA	NA	null
CP026296.1	499351	500751	1401	+	Likely_chrII_5	chrII	proARS217	61	CP026296.1	499351	500751	6930176	6931576	CP029160.1	chr2	503701	505102	proARS217	Likely	Likely_chrII	NA	NA	NA	null
CP026296.1	512455	513454	1000	+	ARS217	chrII	ARS217	62	CP026296.1	512455	513454	6943280	6944279	CP029160.1	chr2	516805	517805	NA	Confirmed	ARS217	NA	NA	NA	null
CP026296.1	534787	535348	562	+	ARS218	chrII	ARS218	63	CP026296.1	534787	535348	6965612	6966173	CP029160.1	chr2	539137	539699	proARS218	Confirmed	ARS218	null	null	null	null
CP026296.1	539247	549246	10000	+	Likely_chrII_6	chrII	ARSII_549	64	CP026296.1	539247	549246	6970072	6980071	CP029160.1	chr2	543600	553600	NA	Likely	Likely_chrII	null	null	NA	null
CP026296.1	578294	579993	1700	+	Likely_chrII_7	chrII	ARSII_584	65	CP026296.1	578294	579993	7009120	7010819	CP029160.1	chr2	582650	584350	NA	Likely	Likely_chrII	NA	NA	NA	null
CP026296.1	587068	587356	289	+	ARS219	chrII	ARS219	66	CP026296.1	587068	587356	7017894	7018182	CP029160.1	chr2	591424	591713	proARS219	Confirmed	ARS219	null	null	NA	null
CP026296.1	606913	608843	1931	+	ARS219.5	chrII	ARS219.5	67	CP026296.1	606913	608843	7037739	7039669	CP029160.1	chr2	611269	613200	NA	Confirmed	ARS219.5	NA	NA	null	null
CP026296.1	618269	618537	269	+	ARS220	chrII	ARS220	68	CP026296.1	618269	618537	7049095	7049363	CP029160.1	chr2	622625	622894	proARS220	Confirmed	ARS220	null	null	act	null
CP026296.1	622779	623488	710	+	Likely_chrII_8	chrII	ARSII_627	69	CP026296.1	622779	623488	7053605	7054314	CP029160.1	chr2	627135	627845	NA	Likely	Likely_chrII	null	null	NA	null
CP026296.1	627578	627889	312	+	ARS221	chrII	ARS221	70	CP026296.1	627578	627889	7058404	7058715	CP029160.1	chr2	631934	632246	proARS221	Confirmed	ARS221	null	null	act	null
CP026296.1	671594	672313	720	+	ARS221.5	chrII	ARS221.5	71	CP026296.1	671594	672313	7102417	7103136	CP029160.1	chr2	675947	676667	NA	Confirmed	ARS221.5	null	null	NA	null
CP026296.1	683177	698173	14997	+	Dubious_chrII_15	chrII	NA	72	CP026296.1	683177	698173	7114001	7129000	CP029160.1	chr2	687531	702531	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	699893	700163	271	+	ARS222	chrII	ARS222	73	CP026296.1	699893	700163	7130720	7130990	CP029160.1	chr2	704250	704521	proARS222	Confirmed	ARS222	null	null	NA	null
CP026296.1	702801	703904	1104	+	ARS222.5	chrII	ARS222.5	74	CP026296.1	702801	703904	7133628	7134731	CP029160.1	chr2	707158	708262	NA	Confirmed	ARS222.5	null	null	rep	null
CP026296.1	716244	716680	437	+	ARS223	chrII	ARS223	75	CP026296.1	716244	716680	7147071	7147507	CP029160.1	chr2	720601	721038	proARS223	Confirmed	ARS223	NA	NA	null	null
CP026296.1	720190	735189	15000	+	Dubious_chrII_16	chrII	NA	76	CP026296.1	720190	735189	7151017	7166016	CP029160.1	chr2	724546	739546	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	737156	737445	290	+	ARS224	chrII	ARS224	77	CP026296.1	737156	737445	7167983	7168272	CP029160.1	chr2	741512	741802	proARS224	Confirmed	ARS224	rep	null	null	null
CP026296.1	753027	753257	231	+	ARS225	chrII	ARS225	78	CP026296.1	753027	753257	7183855	7184085	CP029160.1	chr2	757390	757621	proARS225	Confirmed	ARS225	NA	NA	rep	null
CP026296.1	755992	757349	1358	+	Likely_chrII_9	chrII	ARSII_761	79	CP026296.1	755992	757349	7186820	7188177	CP029160.1	chr2	760355	761713	proARS226	Likely	Likely_chrII	NA	NA	NA	null
CP026296.1	769555	769984	430	+	ARS227	chrII	ARS227	80	CP026296.1	769555	769984	7200383	7200812	CP029160.1	chr2	773918	774348	proARS227	Confirmed	ARS227	NA	NA	null	null
CP026296.1	787753	787977	225	+	ARS228	chrII	ARS228	81	CP026296.1	787753	787977	7218582	7218806	CP029160.1	chr2	792116	792340	proARS228	Confirmed	ARS228	rep	NA	NA	null
CP026296.1	791897	792799	903	+	ARS228.5	chrII	ARS228.5	82	CP026296.1	791897	792799	7222726	7223628	CP029160.1	chr2	796259	797162	NA	Confirmed	ARS228.5	rep	NA	NA	null
CP026296.1	797568	798254	687	+	ARS229	chrII	ARS229	83	CP026296.1	797568	798254	7228397	7229083	CP029160.1	chr2	801930	802617	proARS229	Confirmed	ARS229	rep	NA	act	null
NA	NA	NA	NA	NA	ARS200	chrII	NA	NA	NA	NA	NA	NA	NA	NA	chr2	39	686	NA	Confirmed	ARS200	NA	NA	NA	null
NA	NA	NA	NA	NA	ARS201	chrII	NA	NA	NA	NA	NA	NA	NA	NA	chr2	6123	7127	proARS201	Confirmed	ARS201	NA	NA	NA	null
NA	NA	NA	NA	NA	Dubious_chrII_17	chrII	NA	NA	NA	NA	NA	NA	NA	NA	chr2	810493	813067	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026297.1	514	1227	714	+	ARS300	chrIII	ARS300	84	CP026297.1	1177	1227	7236313	7236363	CP029160.1	chr3	837	1551	X-ARS, proARS300	Confirmed	ARS300	NA	NA	NA	null
CP026297.1	3491	5568	2078	+	Dubious_chrIII_1	chrIII	proARS300.5	85	CP026297.1	3491	5568	7238627	7240704	CP029160.1	chr3	3814	5892	proARS300.5	Dubious	Dubious_chrIII	NA	NA	NA	null
CP026297.1	10821	11076	256	+	ARS301	chrIII	ARS301	86	CP026297.1	10821	11076	7245955	7246210	CP029160.1	chr3	11145	11401	proARS301	Confirmed	ARS301	NA	NA	NA	null
CP026297.1	10979	14529	3551	+	ARS302_1	chrIII	ARS302_proARS_301	87	CP026297.1	10979	14529	7246113	7249663	CP029160.1	chr3	11303	14854	proARS301, proARS302, proARS303/proARS320	Confirmed	ARS302	NA	NA	NA	null
CP026297.1	12459	13168	710	+	Likely_chrIII_1	chrIII	ARSIII_200	88	CP026297.1	12459	13168	7247593	7248302	CP029160.1	chr3	199935	200645	NA	Likely	Likely_chrIII	NA	NA	NA	null
CP026297.1	14250	14524	275	+	ARS302_2	chrIII	ARS302_proARS302	89	CP026297.1	14250	14524	7249384	7249658	CP029160.1	chr3	14574	14849	proARS302, proARS303/proARS320	Confirmed	ARS302	NA	NA	NA	null
CP026297.1	14546	14888	343	+	ARS303	chrIII	ARS303	90	CP026297.1	14546	14888	7249680	7250022	CP029160.1	chr3	14870	15213	proARS302, proARS303/proARS320	Confirmed	ARS303	NA	NA	NA	null
CP026297.1	14889	15949	1061	+	ARS320	chrIII	ARS320	91	CP026297.1	14889	15949	7250023	7251083	CP029160.1	chr3	15213	16274	proARS302, proARS303/proARS320	Confirmed	ARS320	NA	NA	NA	null
CP026297.1	29876	30333	458	+	ARS304	chrIII	ARS304	92	CP026297.1	29876	30333	7265010	7265467	CP029160.1	chr3	30199	30657	NA	Confirmed	ARS304	NA	NA	null	null
CP026297.1	38835	39382	548	+	ARS305	chrIII	ARS305	93	CP026297.1	38835	39382	7273969	7274516	CP029160.1	chr3	39158	39706	ARS A6C, proARS305	Confirmed	ARS305	null	null	act	null
CP026297.1	53482	54681	1200	+	Dubious_chrIII_2	chrIII	NA	94	CP026297.1	53482	54681	7288618	7289817	CP029160.1	chr3	53807	55007	NA	Dubious	Dubious_chrIII	NA	NA	NA	null
CP026297.1	74132	74351	220	+	ARS306	chrIII	ARS306	95	CP026297.1	74132	74351	7309267	7309486	CP029160.1	chr3	74457	74677	NA	Confirmed	ARS306	null	null	act	null
CP026297.1	80676	82690	2015	+	Dubious_chrIII_3	chrIII	NA	96	CP026297.1	80676	82690	7315811	7317825	CP029160.1	chr3	81000	89000	NA	Dubious	Dubious_chrIII	NA	NA	NA	null
CP026297.1	87961	90062	2102	+	Dubious_chrIII_3	chrIII	NA	97	CP026297.1	87961	90062	7323096	7325197	CP029160.1	chr3	81000	89000	NA	Dubious	Dubious_chrIII	NA	NA	NA	null
CP026297.1	106367	106882	516	+	ARS307	chrIII	ARS307	98	CP026297.1	106367	106882	7341502	7342017	CP029160.1	chr3	108775	109291	ARS C2G1, proARS307	Confirmed	ARS307	null	null	null	act
CP026297.1	129571	129914	344	+	ARS309	chrIII	ARS309	100	CP026297.1	129571	129914	7364032	7364375	CP029160.1	chr3	131978	132322	ARS J11D1, proARS309	Confirmed	ARS309	null	null	null	act
CP026297.1	135436	136489	1054	+	Dubious_chrIII_4	chrIII	NA	101	CP026297.1	135436	136489	7369897	7370950	CP029160.1	chr3	137843	138897	NA	Dubious	Dubious_chrIII	NA	NA	NA	act
CP026297.1	136541	146200	9660	+	Dubious_chrIII_5	chrIII	NA	102	CP026297.1	136541	146200	7371002	7380661	CP029160.1	chr3	138948	153948	NA	Dubious	Dubious_chrIII	NA	NA	NA	act
CP026297.1	157704	159988	2285	+	Dubious_chrIII_5	chrIII	NA	103	CP026297.1	157704	159988	7392165	7394449	CP029160.1	chr3	138948	153948	NA	Dubious	Dubious_chrIII	NA	NA	NA	act
CP026297.1	165406	172406	7001	+	Dubious_chrIII_6	chrIII	NA	104	CP026297.1	165406	172406	7399867	7406867	CP029160.1	chr3	159363	166363	NA	Dubious	Dubious_chrIII	NA	NA	NA	null
CP026297.1	172538	173383	846	+	ARS310	chrIII	ARS310	105	CP026297.1	172538	173383	7406999	7407844	CP029160.1	chr3	166494	167340	proARS310	Confirmed	ARS310	null	null	act	null
CP026297.1	209743	210858	1116	+	Dubious_chrIII_7	chrIII	NA	106	CP026297.1	209743	210858	7444204	7445319	CP029160.1	chr3	192527	193643	proARS313	Dubious	Dubious_chrIII	NA	NA	NA	null
CP026297.1	211472	211720	249	+	ARS313	chrIII	ARS313	107	CP026297.1	211472	211720	7445933	7446181	CP029160.1	chr3	194256	194505	NA	Confirmed	ARS313	NA	NA	NA	null
CP026297.1	214585	214816	232	+	ARS314	chrIII	ARS314	108	CP026297.1	214585	214816	7449046	7449277	CP029160.1	chr3	197369	197601	proARS314	Confirmed	ARS314	NA	NA	NA	null
CP026297.1	221092	224749	3658	+	ARS314.5	chrIII	ARS314.5	109	CP026297.1	221092	224749	7455553	7459210	CP029160.1	chr3	203876	207534	NA	Confirmed	ARS314.5	NA	NA	NA	null
CP026297.1	240178	242006	1829	+	Dubious_chrIII_8	chrIII	NA	110	CP026297.1	240178	242006	7474640	7476468	CP029160.1	chr3	222963	224792	proARS315	Dubious	Dubious_chrIII	NA	NA	NA	null
CP026297.1	242022	242267	246	+	ARS315	chrIII	ARS315	111	CP026297.1	242022	242267	7476484	7476729	CP029160.1	chr3	224807	225053	NA	Confirmed	ARS315	null	null	act	null
CP026297.1	278891	280090	1200	+	Dubious_chrIII_9	chrIII	NA	112	CP026297.1	278891	280090	7513355	7514554	CP029160.1	chr3	261680	262880	NA	Dubious	Dubious_chrIII	NA	NA	NA	null
CP026297.1	290055	290298	244	+	ARS316	chrIII	ARS316	113	CP026297.1	290055	290298	7524519	7524762	CP029160.1	chr3	272844	273088	proARS316	Confirmed	ARS316	rep	act	null	null
CP026297.1	309735	310036	302	+	ARS317	chrIII	ARS317	114	CP026297.1	309735	310036	7544199	7544500	CP029160.1	chr3	292524	292826	proARS317, proARS318	Confirmed	ARS317	NA	NA	NA	null
CP026297.1	311607	312237	631	+	ARS318	chrIII	ARS318	115	CP026297.1	311607	312237	7546071	7546701	CP029160.1	chr3	294396	295027	NA	Confirmed	ARS318	NA	NA	NA	null
CP026297.1	321574	328573	7000	+	Likely_chrIII_2	chrIII	ARSII_308	116	CP026297.1	321574	328573	7556038	7563037	CP029160.1	chr3	304363	311363	NA	Likely	Likely_chrIII	NA	NA	NA	null
NA	NA	NA	NA	NA	ARS308	chrIII	NA	NA	NA	NA	NA	NA	NA	NA	chr3	114314	114933	NA	Confirmed	ARS308	null	null	rep	act
NA	NA	NA	NA	NA	ARS319	chrIII	NA	NA	NA	NA	NA	NA	NA	NA	chr3	315346	316232	X-ARS	Confirmed	ARS319	NA	NA	NA	null
CP026298.1	20990	21986	997	+	ARS402.5	chrIV	ARS402.5	163	CP026298.1	20990	21986	7567365	7568361	CP029160.1	chr4	21265	22262	NA	Confirmed	ARS402.5	rep	NA	NA	null
CP026298.1	45903	45958	56	+	ARS404	chrIV	ARS404	164	CP026298.1	45903	45958	7592280	7592335	CP029160.1	chr4	46181	46237	HO, proARS404	Confirmed	ARS404	null	null	null	null
CP026298.1	49967	50676	710	+	Likely_chrIV_2	chrIV	ARSIV_51	165	CP026298.1	49967	50676	7596344	7597053	CP029160.1	chr4	50245	50955	NA	Likely	Likely_chrIV	null	null	NA	null
CP026298.1	85667	85898	232	+	ARS405	chrIV	ARS405	166	CP026298.1	85667	85898	7632044	7632275	CP029160.1	chr4	85945	86177	proARS405	Confirmed	ARS405	null	null	NA	null
CP026298.1	95156	95864	709	+	Likely_chrIV_3	chrIV	ARSIV_51.1	167	CP026298.1	95156	95864	7641534	7642243	CP029160.1	chr4	95435	96145	NA	Likely	Likely_chrIV	NA	NA	NA	null
CP026298.1	100099	101073	975	+	ARS405.5	chrIV	ARS405.5	168	CP026298.1	100099	101073	7646479	7647453	CP029160.1	chr4	100380	101355	NA	Confirmed	ARS405.5	NA	NA	NA	null
CP026298.1	123336	123620	285	+	ARS406	chrIV	ARS406	169	CP026298.1	123336	123620	7669716	7669999	CP029160.1	chr4	123617	123902	proARS406	Confirmed	ARS406	null	null	act	null
CP026298.1	137164	137526	363	+	ARS407	chrIV	ARS407	170	CP026298.1	137164	137526	7683543	7683905	CP029160.1	chr4	137445	137808	proARS407	Confirmed	ARS407	NA	NA	rep	null
CP026298.1	157463	157953	491	+	ARS408	chrIV	ARS408	171	CP026298.1	157463	157953	7703842	7704332	CP029160.1	chr4	157744	158235	proARS408	Confirmed	ARS408	NA	NA	null	null
CP026298.1	168820	170019	1200	+	Dubious_chrIV_1	chrIV	NA	172	CP026298.1	168820	170019	7715199	7716398	CP029160.1	chr4	169101	170301	NA	Dubious	Dubious_chrIV	NA	NA	NA	null
CP026298.1	212139	212387	249	+	ARS409	chrIV	ARS409	173	CP026298.1	212139	212387	7758518	7758765	CP029160.1	chr4	212420	212669	proARS409	Confirmed	ARS409	null	null	rep	null
CP026298.1	212525	227523	14999	+	Dubious_chrIV_2	chrIV	NA	174	CP026298.1	212525	227523	7758903	7773897	CP029160.1	chr4	212806	227806	NA	Dubious	Dubious_chrIV	NA	NA	NA	null
CP026298.1	231858	232335	478	+	ARS409.3	chrIV	ARS409.3	175	CP026298.1	231858	232335	7778232	7778709	CP029160.1	chr4	232140	232618	NA	Confirmed	ARS409.3	NA	NA	NA	null
CP026298.1	235654	235902	249	+	ARS409.5	chrIV	ARS409.5	176	CP026298.1	235654	235902	7782028	7782276	CP029160.1	chr4	235935	236184	NA	Confirmed	ARS409.5	NA	NA	rep	null
CP026298.1	253508	253756	249	+	ARS410	chrIV	ARS410	177	CP026298.1	253508	253756	7799882	7800130	CP029160.1	chr4	253789	254038	proARS410	Confirmed	ARS410	NA	NA	null	null
CP026298.1	255748	256850	1103	+	Likely_chrIV_4	chrIV	proARS411	178	CP026298.1	255748	256850	7802122	7803224	CP029160.1	chr4	256029	257132	proARS411	Likely	Likely_chrIV	NA	NA	NA	null
CP026298.1	316436	316827	392	+	ARS412	chrIV	ARS412	179	CP026298.1	316436	316827	7862810	7863201	CP029160.1	chr4	316719	317111	proARS412	Confirmed	ARS412	NA	NA	rep	null
CP026298.1	329281	329527	247	+	ARS413	chrIV	ARS413	180	CP026298.1	329281	329527	7875655	7875903	CP029160.1	chr4	329564	329813	proARS413	Confirmed	ARS413	null	null	act	null
