chrom	start	end	name	Other_name 	Genomic_location 	CTF19D
chrIII	11144	11401	ARS301	proARS301	ARSIII_11	
chrIII	11302	14854	ARS302	proARS301_proARS302_proARS303_proARS320	ARSIII_13	
chrIII	14573	14849	ARS302	proARS302_proARS303_proARS320	ARSIII_15	
chrIII	14869	15213	ARS303	proARS302_proARS303_proARS320	ARSIII_15	
chrIII	15212	16274	ARS320	proARS302_proARS303_proARS320	ARSIII_16	
chrIII	30198	30657	ARS304	NA	ARSIII_30	
chrIII	39157	39706	ARS305	ARS_A6C_proARS305	ARSIII_39	
chrIII	53806	55007	Dubious		ARSIII_54	
chrIII	74456	74677	ARS306	NA	ARSIII_75	
chrIII	80999	89000	Dubious		ARSIII_85	
chrIII	108774	109291	ARS307	ARS_C2G1_proARS307	ARSIII_109	p
chrIII	114313	114933	ARS308	NA	ARSIII_115	p
chrIII	131977	132322	ARS309	ARS_J11D1_proARS309	ARSIII_132	p
chrIII	137842	138897	Dubious		ARSIII_138	p
chrIII	138947	153948	Dubious		ARSIII_146	p
chrIII	159362	166363	Dubious		ARSIII_163	
chrIII	166493	167340	ARS310	proARS310	ARSIII_167	
chrIII	192526	193643	Dubious	proARS313	ARSIII_193	
chrIII	194255	194505	ARS313	NA	ARSIII_194	
chrIII	197368	197601	ARS314	proARS314	ARSIII_197	
chrIII	199934	200645	Likely		ARSIII_200	
chrIII	203875	207534	ARS314.5	NA	ARSIII_206	
chrIII	222962	224792	Dubious	proARS315	ARSIII_224	
chrIII	224806	225053	ARS315	NA	ARSIII_225	
chrIII	261679	262880	Dubious		ARSIII_262	
chrIII	272843	273088	ARS316	proARS316	ARSIII_273	
chrIII	292523	292826	ARS317	proARS317_proARS318	ARSIII_293	
chrIII	294395	295027	ARS318	NA	ARSIII_295	
chrIII	304362	311363	Likely		ARSIII_308	
chrIII	315345	316232	ARS319	ARSX_ARS	ARSIII_316	
chrIV	136	1392	ARS400	NA	ARSIV_1	
chrIV	7595	11052	Likely		ARSIV_9	
chrIV	15491	15739	ARS403	proARS403	ARSIV_16	
chrIV	21264	22262	ARS402.5	NA	ARSIV_22	
chrIV	46180	46237	ARS404	HO_proARS404	ARSIV_46	
chrIV	50244	50955	Likely		ARSIV_51	
chrIV	85944	86177	ARS405	proARS405	ARSIV_86	
chrIV	95434	96145	Likely		ARSIV_96	
chrIV	100379	101355	ARS405.5	NA	ARSIV_101	
chrIV	123616	123902	ARS406	proARS406	ARSIV_124	
chrIV	137444	137808	ARS407	proARS407	ARSIV_138	
chrIV	157743	158235	ARS408	proARS408	ARSIV_158	
chrIV	169100	170301	Dubious		ARSIV_170	
chrIV	212419	212669	ARS409	proARS409	ARSIV_213	
chrIV	212805	227806	Dubious		ARSIV_220	
chrIV	232139	232618	ARS409.3	NA	ARSIV_232	
chrIV	235934	236184	ARS409.5	NA	ARSIV_236	
chrIV	253788	254038	ARS410	proARS410	ARSIV_254	
chrIV	256028	257132	Likely		ARSIV_257	
chrIV	316718	317111	ARS412	proARS412	ARSIV_317	
chrIV	329563	329813	ARS413	proARS413	ARSIV_330	
chrIV	350834	351804	ARS413.5	NA	ARSIV_351	
chrIV	357805	359006	Dubious		ARSIV_358	
chrIV	384231	385432	Dubious		ARSIV_385	
chrIV	408069	408312	ARS414	proARS414	ARSIV_408	
chrIV	435055	435388	ARS415	proARS415	ARSIV_435	p
chrIV	443317	444447	Likely		ARSIV_444	p
chrIV	462429	462700	ARS416	ARS1_proARS416	ARSIV_463	p
chrIV	476002	477577	Likely		ARSIV_477	p
chrIV	483845	484091	ARS417	proARS417	ARSIV_484	p
chrIV	505335	505578	ARS417.5	ARS450	ARSIV_505	
chrIV	555223	555461	ARS418	proARS418	ARSIV_555	
chrIV	567489	567737	ARS419	proARS419	ARSIV_568	
chrIV	603406	618407	Dubious		ARSIV_611	
chrIV	629071	629669	ARS420	proARS420	ARSIV_629	
chrIV	639858	640108	ARS421	proARS421	ARSIV_640	
chrIV	641290	648291	Likely		ARSIV_645	
chrIV	689044	689755	Dubious		ARSIV_689	
chrIV	702878	703125	ARS422	ARO1_proARS422	ARSIV_703	
chrIV	719872	721227	Likely		ARSIV_721	
chrIV	731939	746940	Dubious		ARSIV_739	
chrIV	748383	748630	ARS422.5	ARS451	ARSIV_749	
chrIV	753158	753391	ARS423	proARS423	ARSIV_753	
chrIV	763411	764716	Dubious		ARSIV_764	
chrIV	774290	781291	Dubious		ARSIV_778	
chrIV	783452	798453	Dubious		ARSIV_791	
chrIV	806043	806270	ARS425	proARS425	ARSIV_806	
chrIV	812960	827961	Dubious		ARSIV_820	
chrIV	832408	834359	Dubious		ARSIV_833	
chrIV	844596	845593	ARS426.5	NA	ARSIV_845	
chrIV	858639	859840	Likely		ARSIV_859	
chrIV	875790	882791	Likely		ARSIV_879	
chrIV	898252	899887	Likely		ARSIV_899	
chrIV	903823	904655	ARS427.5	NA	ARSIV_904	
chrIV	913779	914029	ARS428	proARS428	ARSIV_914	
chrIV	921681	921930	ARS429	proARS429	ARSIV_922	
chrIV	942982	943975	ARS429.5	NA	ARSIV_943	
chrIV	954023	955224	Dubious		ARSIV_955	
chrIV	970249	980250	Likely		ARSIV_975	
chrIV	986999	995000	Dubious		ARSIV_991	
chrIV	1016623	1016922	ARS430	proARS430	ARSIV_1017	
chrIV	1021544	1022255	Likely		ARSIV_1022	
chrIV	1033068	1034182	ARS430.5	NA	ARSIV_1034	
chrIV	1057827	1058076	ARS431	proARS431	ARSIV_1058	
chrIV	1109954	1110196	ARS431.5	ARS452	ARSIV_1110	
chrIV	1130671	1131155	ARS431.7	NA	ARSIV_1131	
chrIV	1132290	1139291	Dubious		ARSIV_1136	
chrIV	1159249	1159499	ARS432	proARS432	ARSIV_1159	
chrIV	1165997	1166221	ARS432.5	ARS453	ARSIV_1166	
chrIV	1199799	1209800	Likely		ARSIV_1205	
chrIV	1240868	1241098	ARS433	proARS433	ARSIV_1241	
chrIV	1274654	1275365	Dubious		ARSIV_1275	
chrIV	1276211	1276440	ARS434	proARS434	ARSIV_1276	
chrIV	1302578	1302819	ARS435	proARS435	ARSIV_1303	
chrIV	1305245	1306801	Dubious	proARS436	ARSIV_1306	
chrIV	1307649	1308850	Likely		ARSIV_1308	
chrIV	1353493	1353667	ARS437	proARS437	ARSIV_1354	
chrIV	1355086	1356599	Dubious	proARS438	ARSIV_1356	
chrIV	1379197	1380752	Likely	proARS439	ARSIV_1380	
chrIV	1385150	1385630	ARS439.5	NA	ARSIV_1385	
chrIV	1404276	1404512	ARS440	proARS440	ARSIV_1404	
chrIV	1428934	1429645	Dubious		ARSIV_1429	
chrIV	1447297	1448928	ARS441	proARS441	ARSIV_1448	
chrIV	1454011	1455590	Likely	proARS442	ARSIV_1455	
chrIV	1461848	1462161	ARS442	proARS443	ARSIV_1462	
chrIV	1468120	1469948	Dubious	proARS444	ARSIV_1469	
chrIV	1469965	1471048	Dubious	proARS445	ARSIV_1471	
chrIV	1486904	1487149	ARS446	proARS446	ARSIV_1487	
chrIV	1495290	1502291	Likely		ARSIV_1499	
chrIV	1502623	1503221	ARS447	proARS447	ARSIV_1503	
chrIV	1505299	1507153	Likely	proARS448	ARSIV_1506	
chrIV	1522297	1526152	Likely	proARS449	ARSIV_1524	
chrIV	1530847	1531802	Dubious		ARSIV_1531	
chrV	22	1144	Dubious		ARSV_1	
chrV	4096	4185	ARS502	Y'-ARS_proARS502	ARSV_4	
chrV	6463	7230	ARS503	proARS503	ARSV_7	
chrV	8785	10019	ARS504	proARS504	ARSV_9	
chrV	11712	12194	ARS504.2	proARS505	ARSV_12	
chrV	17066	19023	Likely		ARSV_18	
chrV	59281	59516	ARS507	proARS507	ARSV_59	
chrV	67664	68709	Dubious		ARSV_68	
chrV	93976	94218	ARS508	proARS508	ARSV_94	
chrV	108552	110467	Likely	proARS509	ARSV_110	
chrV	145538	145782	ARS510	proARS510	ARSV_146	p
chrV	164050	165251	Dubious		ARSV_165	
chrV	173635	173874	ARS511	proARS511	ARSV_174	
chrV	183822	184697	Dubious		ARSV_184	
chrV	192492	192926	ARS511.5	NA	ARSV_193	
chrV	212380	212630	ARS512	proARS512	ARSV_213	
chrV	255622	256957	Likely		ARSV_256	
chrV	276126	276526	ARS513.5	NA	ARSV_276	
chrV	278072	278355	ARS513.7	NA	ARSV_278	
chrV	287503	287750	ARS514	proARS514	ARSV_288	
chrV	301564	302061	ARS514.5	NA	ARSV_302	
chrV	316042	317307	Likely		ARSV_317	
chrV	353503	353751	ARS516	tRNAgluARS_proARS516	ARSV_354	
chrV	406746	406949	ARS517	proARS517	ARSV_407	
chrV	418014	418725	Dubious		ARSV_418	
chrV	429860	431061	Likely		ARSV_430	
chrV	438928	439178	ARS518	proARS518	ARSV_439	
chrV	442411	442731	ARS519	proARS519	ARSV_443	
chrV	477885	484886	Dubious		ARSV_481	
chrV	498416	499343	ARS520	proARS520	ARSV_499	
chrV	502950	517951	Dubious		ARSV_510	
chrV	520766	521025	ARS521	NA	ARSV_521	
chrV	549559	549809	ARS522	ARS501_proARS522	ARSV_550	
chrV	559885	566886	Likely		ARSV_563	
chrV	569019	570085	ARS523	proARS523	ARSV_570	
chrV	575572	576817	Dubious		ARSV_576	
chrVI	22	1527	Likely		ARSVI_1	
chrVI	5434	6155	ARS600.1	ARS120_ARSX_ARS_proARS600.1	ARSVI_6	
chrVI	12173	13028	ARS600.2	proARS600.2	ARSVI_13	
chrVI	18681	19864	ARS600.3	proARS600.3_proARS600.4	ARSVI_19	
chrVI	19668	20826	ARS600.4	proARS600.3_proARS600.4	ARSVI_20	
chrVI	32471	32995	ARS601	proARS601/proARS602	ARSVI_33	
chrVI	32665	33247	ARS602	proARS601/proARS602	ARSVI_33	
chrVI	51813	55080	Dubious		ARSVI_53	
chrVI	61780	62981	Likely		ARSVI_62	
chrVI	68689	68869	ARS603	proARS603	ARSVI_69	
chrVI	94999	103000	Likely		ARSVI_99	
chrVI	104455	104695	ARS603.1	NA	ARSVI_105	
chrVI	118630	118952	ARS603.5	proARS603.5	ARSVI_119	
chrVI	127744	128066	ARS604	NA	ARSVI_128	p
chrVI	135978	136080	ARS605	proARS605	ARSVI_136	p
chrVI	167605	168041	ARS606	proARS606	ARSVI_168	
chrVI	199381	199493	ARS607	proARS607	ARSVI_199	
chrVI	216343	216692	ARS608	NA	ARSVI_217	
chrVI	228090	243091	Dubious		ARSVI_236	
chrVI	253315	253800	ARS608.5	NA	ARSVI_254	
chrVI	256262	256418	ARS609	proARS609	ARSVI_256	
chrVI	268254	268965	Likely	proARS610	ARSVI_269	
chrVI	269403	270022	ARS610	proARS610	ARSVI_270	
chrVII	22	778	Dubious		ARSVII_0	
chrVII	6260	8789	Likely		ARSVII_8	
chrVII	17628	18112	ARS700.5	NA	ARSVII_18	
chrVII	22646	29647	Likely		ARSVII_26	
chrVII	31979	34434	Likely		ARSVII_33	
chrVII	64278	64528	ARS702	proARS702	ARSVII_64	
chrVII	68829	70170	Dubious		ARSVII_70	
chrVII	112079	112319	ARS704	proARS704	ARSVII_112	
chrVII	114384	115095	Likely		ARSVII_115	
chrVII	117470	117955	ARS706	ARO8_proARS706	ARSVII_118	
chrVII	163179	163447	ARS707	proARS707	ARSVII_163	
chrVII	165724	167856	Dubious		ARSVII_167	
chrVII	170772	172017	Likely		ARSVII_171	
chrVII	187240	187651	ARS709	proARS709	ARSVII_187	
chrVII	203916	204159	ARS710	proARS710	ARSVII_204	
chrVII	231908	231984	ARS711	ARS701_ARS137	ARSVII_232	
chrVII	240971	241441	ARS712	proARS712	ARSVII_241	
chrVII	266525	267726	Likely		ARSVII_267	
chrVII	268878	270680	Likely		ARSVII_270	
chrVII	274817	275367	Likely		ARSVII_275	
chrVII	285950	286246	ARS714	proARS714	ARSVII_286	
chrVII	287951	289013	Likely	proARS715	ARSVII_288	
chrVII	318744	319455	Likely		ARSVII_319	
chrVII	330394	345395	Dubious		ARSVII_338	
chrVII	352694	352917	ARS716	proARS716	ARSVII_353	
chrVII	388657	388892	ARS717	proARS717	ARSVII_389	
chrVII	421092	421342	ARS718	proARS718	ARSVII_421	
chrVII	456271	457472	Dubious		ARSVII_457	
chrVII	479992	482537	Likely		ARSVII_481	
chrVII	484931	485160	ARS719	proARS719	ARSVII_485	
chrVII	508728	508978	ARS720	proARS720	ARSVII_509	p
chrVII	534749	544750	Likely		ARSVII_540	
chrVII	552052	553847	Dubious		ARSVII_553	
chrVII	568489	568738	ARS721	proARS721	ARSVII_569	
chrVII	574621	574916	ARS722	proARS722	ARSVII_575	
chrVII	574977	576840	Likely	proARS723	ARSVII_576	
chrVII	580929	582707	Dubious	proARS724	ARSVII_582	
chrVII	591599	592800	Dubious	NA	ARSVII_592	
chrVII	607175	607619	ARS724.5	NA	ARSVII_607	
chrVII	620242	622517	Likely		ARSVII_621	
chrVII	626576	627912	Dubious	proARS725	ARSVII_627	
chrVII	653610	654091	ARS726	proARS726	ARSVII_654	
chrVII	659808	660054	ARS727	proARS727	ARSVII_660	
chrVII	715272	715556	ARS728	proARS728	ARSVII_715	
chrVII	735569	750570	Dubious		ARSVII_743	
chrVII	765450	766651	Dubious		ARSVII_766	
chrVII	777966	778216	ARS729	proARS729	ARSVII_778	
chrVII	795133	796306	Likely		ARSVII_796	
chrVII	800890	802091	Likely		ARSVII_801	
chrVII	834491	834736	ARS731	proARS731	ARSVII_835	
chrVII	845922	848287	Likely		ARSVII_847	
chrVII	855120	870121	Dubious		ARSVII_863	
chrVII	882812	883747	Dubious		ARSVII_883	
chrVII	888349	888599	ARS731.5	ARS737	ARSVII_888	
chrVII	916674	917170	ARS732	proARS732	ARSVII_917	
chrVII	969740	970941	Likely		ARSVII_970	
chrVII	977729	977979	ARS733	proARS733	ARSVII_978	
chrVII	999447	999695	ARS734	proARS734	ARSVII_1000	
chrVII	1002181	1002571	ARS735	proARS735	ARSVII_1002	
chrVII	1004197	1006102	Likely		ARSVII_1005	
chrVII	1033146	1040147	Dubious		ARSVII_1037	
chrVII	1063253	1063715	ARS735.5	NA	ARSVII_1063	
chrVII	1073297	1074352	Likely		ARSVII_1074	
chrVII	1082958	1084336	ARS131a	ARSX_ARS_proARS736	ARSVII_1084	
chrVII	1089547	1090902	Likely	NA	ARSVII_1090	
chrVIII	22	1245	Dubious	NA	ARSVIII_1	
chrVIII	5157	6168	ARS131n	ARSX_ARS_proARS801	ARSVIII_6	
chrVIII	7533	7782	ARS802	proARS802	ARSVIII_8	
chrVIII	9710	11566	Likely	proARS803	ARSVIII_11	
chrVIII	45588	46076	ARS804	proARS804	ARSVIII_46	
chrVIII	56649	59172	Likely	NA	ARSVIII_58	
chrVIII	64254	64489	ARS805	SPO11_proARS805	ARSVIII_64	
chrVIII	77689	78890	Dubious	NA	ARSVIII_78	
chrVIII	87471	89452	Dubious	NA	ARSVIII_88	
chrVIII	94758	95192	ARS805.5	NA	ARSVIII_95	p
chrVIII	111292	111766	ARS805.7	NA	ARSVIII_112	p
chrVIII	115682	117257	Likely	proARS806	ARSVIII_116	p
chrVIII	133346	133591	ARS807	NA	ARSVIII_133	
chrVIII	134267	135517	Likely	proARS807	ARSVIII_135	
chrVIII	140339	141265	ARS808	ARS2_ARS808	ARSVIII_141	
chrVIII	168530	168773	ARS809	proARS809	ARSVIII_169	
chrVIII	192458	193659	Likely	NA	ARSVIII_193	
chrVIII	197813	199014	Likely	NA	ARSVIII_198	
chrVIII	213178	213861	ARS810	proARS810	ARSVIII_214	
chrVIII	214884	215595	Likely	proARS811	ARSVIII_215	
chrVIII	218343	219498	Likely	proARS812	ARSVIII_219	
chrVIII	245718	245968	ARS813	proARS813	ARSVIII_246	
chrVIII	253469	268470	Dubious	NA	ARSVIII_261	
chrVIII	279857	281058	Dubious	NA	ARSVIII_280	
chrVIII	286649	287981	Likely	proARS814	ARSVIII_287	
chrVIII	296881	297475	ARS815	proARS815	ARSVIII_297	
chrVIII	344374	345085	Likely	NA	ARSVIII_345	
chrVIII	359468	359928	ARS816	proARS816	ARSVIII_360	
chrVIII	363334	370335	Likely	NA	ARSVIII_367	
chrVIII	380152	382157	Likely	proARS817	ARSVIII_381	
chrVIII	392147	392391	ARS818	proARS818_proARS819	ARSVIII_392	
chrVIII	406011	406508	ARS818.5	NA	ARSVIII_406	
chrVIII	447618	447853	ARS820	proARS820	ARSVIII_448	
chrVIII	451492	453397	Dubious	NA	ARSVIII_452	
chrVIII	474308	474793	ARS821	proARS821	ARSVIII_475	
chrVIII	501750	501992	ARS822	proARS822	ARSVIII_502	
chrVIII	504562	505207	Dubious	NA	ARSVIII_505	
chrVIII	520015	520630	ARS823	proARS823	ARSVIII_520	
chrVIII	535402	535836	ARS823.5	NA	ARSVIII_536	
chrVIII	550162	551317	Likely	NA	ARSVIII_551	
chrVIII	553134	553845	Dubious	NA	ARSVIII_553	
chrVIII	555995	556327	ARS824	ARSX_ARS_proARS824	ARSVIII_556	
chrVIII	561012	562587	Dubious	NA	ARSVIII_562	
chrIX	22	2400	Dubious	NA	ARSIX_1	
chrIX	6793	9748	Likely	proARS902	ARSIX_8	
chrIX	10093	11992	Dubious	proARS903	ARSIX_11	
chrIX	15900	19066	Likely	proARS904	ARSIX_17	
chrIX	30064	31646	Likely	NA	ARSIX_31	
chrIX	33334	33803	ARS905	proARS905	ARSIX_34	
chrIX	50805	52259	Dubious	proARS906	ARSIX_52	
chrIX	73802	74220	ARS907	proARS907	ARSIX_74	
chrIX	80057	80557	ARS908	proARS908	ARSIX_80	
chrIX	105820	106048	ARS909	proARS909	ARSIX_106	
chrIX	112736	114306	Dubious	proARS910	ARSIX_114	
chrIX	136093	136335	ARS911	proARS911	ARSIX_136	
chrIX	162935	163302	ARS911.5	NA	ARSIX_163	
chrIX	175033	175355	ARS912	proARS912	ARSIX_175	
chrIX	179590	186591	Likely	NA	ARSIX_183	
chrIX	189522	190747	Likely	NA	ARSIX_190	
chrIX	197186	198387	Dubious	NA	ARSIX_198	
chrIX	201590	208591	Likely	NA	ARSIX_205	
chrIX	214674	214826	ARS913	ARS901_proARS913	ARSIX_215	
chrIX	216590	223591	Likely	NA	ARSIX_220	
chrIX	224942	227297	Likely	NA	ARSIX_226	
chrIX	230257	245258	Dubious	NA	ARSIX_238	
chrIX	245693	245932	ARS913.5	ARS923	ARSIX_246	
chrIX	247578	247800	ARS914	proARS914	ARSIX_248	
chrIX	247892	249347	Likely	proARS915	ARSIX_249	
chrIX	279617	280818	Likely	NA	ARSIX_280	
chrIX	307698	309073	Dubious	proARS916	ARSIX_308	
chrIX	310582	311070	ARS916	proARS917	ARSIX_311	
chrIX	313358	314533	Dubious	proARS918	ARSIX_314	
chrIX	320852	324347	Dubious	NA	ARSIX_323	
chrIX	327347	328548	Dubious	NA	ARSIX_328	p
chrIX	341852	342096	ARS919	proARS919	ARSIX_342	p
chrIX	357155	357393	ARS920	proARS920	ARSIX_357	p
chrIX	362420	363718	Dubious	proARS921	ARSIX_363	p
chrIX	405632	407617	Likely	NA	ARSIX_407	
chrIX	411816	412053	ARS922	proARS922	ARSIX_412	
chrIX	432495	432994	ARS922.5	NA	ARSIX_433	
chrIX	437552	439847	Likely	NA	ARSIX_439	
chrX	63	577	ARS1001	Y'-ARS_proARS1001	ARSX_0	
chrX	7443	7943	ARS1002	ARSX_ARS_proARS1002	ARSX_8	
chrX	16122	16762	ARS1003	proARS1003	ARSX_16	
chrX	23660	24158	ARS1004	proARS1004	ARSX_24	
chrX	44432	51433	Dubious	NA	ARSX_48	
chrX	67466	67949	ARS1005	proARS1005	ARSX_68	
chrX	99358	99796	ARS1006	proARS1006	ARSX_100	
chrX	113225	113828	ARS1007	proARS1007	ARSX_114	
chrX	120692	121777	Dubious	NA	ARSX_121	
chrX	133999	144000	Dubious	NA	ARSX_139	
chrX	161434	161860	ARS1007.5	NA	ARSX_162	
chrX	167432	174433	Likely		ARSX_171	
chrX	203728	204614	ARS1008	proARS1008	ARSX_204	
chrX	204754	219755	Dubious	NA	ARSX_212	
chrX	228247	228740	ARS1009	proARS1009	ARSX_228	
chrX	248599	249300	ARS1009.5	NA	ARSX_249	
chrX	268049	269250	Likely	NA	ARSX_269	
chrX	298470	298952	ARS1010	proARS1010	ARSX_299	
chrX	301432	308433	Likely	NA	ARSX_305	
chrX	324820	326021	Dubious	NA	ARSX_325	
chrX	336975	337225	ARS1011	proARS1011	ARSX_337	
chrX	353462	355722	Likely	NA	ARSX_355	
chrX	374574	374818	ARS1012	proARS1012	ARSX_375	
chrX	375400	375923	ARS1013	proARS1013	ARSX_376	
chrX	405544	406255	Dubious	NA	ARSX_406	
chrX	416887	417134	ARS1014	proARS1014	ARSX_417	
chrX	442247	442658	ARS1015	proARS1015	ARSX_442	p
chrX	454275	455248	ARS1016	NA	ARSX_455	
chrX	459028	459588	ARS1017	NA	ARSX_459	
chrX	469669	479670	Likely	NA	ARSX_475	
chrX	501594	502525	ARS1017.5	NA	ARSX_502	
chrX	540238	540474	ARS1018	proARS1018	ARSX_540	
chrX	608999	609750	ARS1018.5	NA	ARSX_609	
chrX	612541	612975	ARS1019	proARS1019	ARSX_613	
chrX	627617	628818	Dubious	NA	ARSX_628	
chrX	643812	644767	Likely	NA	ARSX_644	
chrX	654068	654309	ARS1020	proARS1020	ARSX_654	
chrX	683327	683817	ARS1021	ARS121_proARS1021	ARSX_684	
chrX	701662	702677	Dubious	NA	ARSX_702	
chrX	711589	711837	ARS1022	proARS1022	ARSX_712	
chrX	713859	723860	Likely	NA	ARSX_719	
chrX	729676	730208	ARS1023	proARS1023	ARSX_730	
chrX	736727	736970	ARS1024	proARS1024	ARSX_737	
chrX	744101	744703	ARS1025	proARS1025	ARSX_744	
chrXI	22	2746	Likely	proARS1101	ARSXI_1	
chrXI	7396	9007	Likely	proARS1102	ARSXI_8	
chrXI	15454	16165	Likely	NA	ARSXI_16	
chrXI	16261	31262	Dubious	NA	ARSXI_24	
chrXI	42109	42563	ARS1102.5	NA	ARSXI_42	
chrXI	55669	55917	ARS1103	proARS1103	ARSXI_56	
chrXI	88290	89789	Dubious	proARS1104	ARSXI_89	
chrXI	98328	98568	ARS1104.5	ARS1125	ARSXI_98	
chrXI	113072	115127	Likely	proARS1105	ARSXI_114	
chrXI	145432	145893	ARS1105.5	NA	ARSXI_146	
chrXI	152933	153173	ARS1106	proARS1106	ARSXI_153	
chrXI	163722	164287	Dubious	NA	ARSXI_164	
chrXI	169020	170221	Dubious	NA	ARSXI_170	
chrXI	196037	196284	ARS1106.3	ARS1126	ARSXI_196	
chrXI	199885	200537	ARS1106.5	NA	ARSXI_200	
chrXI	213079	213385	ARS1106.7	ARS1127	ARSXI_213	
chrXI	235292	236577	Likely	NA	ARSXI_236	
chrXI	257389	257839	ARS1107	proARS1107	ARSXI_258	
chrXI	302151	302524	ARS1107.5	NA	ARSXI_302	
chrXI	313668	314957	Dubious	proARS1108	ARSXI_314	
chrXI	326152	327067	Dubious	NA	ARSXI_327	
chrXI	329321	329571	ARS1109	proARS1109	ARSXI_329	
chrXI	333113	334557	Likely	proARS1110	ARSXI_334	
chrXI	343387	345027	Dubious	NA	ARSXI_344	
