Origin Name (Primary)	Origin Name (Secondary)	Origin Chromosome	Origin Start Coordinate	Origin End Coordinate	Regulation in fkh1_	Regulation in fkh2_	Regulation in fkh1_ fkh2_	Regulation in fkh1_ fkh2_2C
ARS912	proARS912	9	175034	175355	0	0	1	0
NA	NA	9	201591	208591	0	0	0	0
ARS913	ARS901	9	214675	214826	0	0	-1	-1
NA	NA	9	224943	227297	0	0	-1	0
ARS914	proARS914	9	247579	247800	0	0	-1	-1
NA	NA	9	275259	290259	0	0	0	0
ARS916	proARS917	9	310583	311070	0	0	1	1
ARS919	proARS919	9	341853	342096	1	0	0	0
ARS920	proARS920	9	357156	357393	1	0	0	0
ARS922	proARS922	9	411817	412053	0	0	-1	-1
ARS1005	proARS1005	10	67467	67949	0	0	-1	0
ARS1006	proARS1006	10	99359	99796	0	0	-1	0
ARS1007	proARS1007	10	113226	113828	0	0	1	1
ARS1007.5	NA	10	161435	161860	0	0	0	0
ARS1008	proARS1008	10	203729	204614	0	0	-1	-1
ARS1009	proARS1009	10	228248	228740	0	0	0	0
ARS1010	proARS1010	10	298471	298952	0	0	1	1
ARS1011	proARS1011	10	336976	337225	0	0	1	1
NA	NA	10	353463	355722	0	0	0	0
ARS1012	proARS1012	10	374575	374818	-1	0	-1	-1
ARS1014	proARS1014	10	416888	417134	0	0	-1	-1
ARS1015	proARS1015	10	442248	442658	1	0	1	1
ARS1017	NA	10	459029	459588	0	0	1	1
ARS1018	proARS1018	10	540239	540474	-1	0	-1	-1
ARS1019	proARS1019	10	612542	612975	0	0	-1	-1
ARS1020	proARS1020	10	654069	654309	0	0	0	0
ARS1021	ARS121	10	683328	683817	0	0	-1	-1
ARS1103	proARS1103	11	55670	55917	-1	0	-1	-1
ARS1104.5	ARS1125	11	98329	98568	0	0	1	1
NA	proARS1105	11	113073	115127	0	0	0	0
ARS1106	proARS1106	11	152934	153173	0	0	0	0
ARS1106.3	ARS1126	11	196038	196284	0	0	0	0
ARS1106.7	ARS1127	11	213080	213385	0	0	0	0
NA	NA	11	235293	236577	0	0	0	0
NA	proARS1107	11	256478	258327	0	0	1	1
NA	NA	11	301463	303017	0	0	-1	-1
ARS1109	proARS1109	11	329322	329571	0	0	1	0
ARS1112	proARS1112	11	388607	388902	0	0	-1	-1
ARS1113	proARS1113	11	416822	417055	1	0	1	1
ARS1114	proARS1114	11	447657	447892	0	0	0	0
ARS1114.5	NA	11	454453	459197	0	0	0	0
ARS1116	proARS1116	11	516653	516902	0	0	0	0
NA	proARS1117	11	528843	531477	0	0	0	0
ARS1118	proARS1118	11	581468	581706	0	0	1	1
ARS1120	proARS1120	11	611874	612107	0	0	0	0
ARS1123	proARS1123	11	642355	642602	0	0	0	0
NA	proARS1205	12	75896	77618	0	0	-1	-1
ARS1206	proARS1206	12	91417	91659	-1	0	-1	-1
NA	proARS1207	12	139293	140447	0	0	1	0
ARS1209	proARS1209	12	156646	156883	1	0	0	0
NA	NA	12	197913	199417	0	0	0	0
ARS1211	proARS1211	12	231179	231422	0	0	-1	-1
ARS1211.5	NA	12	243527	243960	0	0	1	1
ARS1212	proARS1212	12	289220	289469	0	0	1	1
ARS1212.5	NA	12	343577	344033	0	0	1	1
ARS1213	proARS1213	12	373156	373400	0	0	-1	-1
ARS1215	proARS1215	12	412668	412897	-1	0	-1	-1
NA	NA	12	426942	441942	0	0	0	0
ARS1216.5	rDNAARS	12	458826	459141	0	0	-1	-1
NA	NA	12	493903	494987	0	0	0	0
ARS1217	proARS1217	12	512868	513117	0	0	-1	-1
ARS1218	proARS1218	12	602938	603155	0	0	-1	-1
NA	proARS1219	12	622103	623937	0	0	0	0
NA	NA	12	644493	645767	0	0	1	1
ARS1220	proARS1220	12	659823	660072	0	0	0	0
NA	NA	12	684000	692000	0	0	0	0
NA	proARS1222	12	729123	732237	0	0	-1	-1
ARS1223	proARS1223	12	744942	745179	0	0	-1	-1
ARS1226	proARS1226	12	794020	794269	0	0	1	1
NA	proARS1227	12	821403	823002	0	0	1	1
ARS1227.5	ARS1238	12	888569	888810	0	0	1	1
NA	proARS1229	12	927043	929292	0	0	1	1
NA	proARS1231	12	947123	949407	0	0	0	0
ARS1232	proARS1232	12	1007180	1007470	0	0	0	0
ARS1233	proARS1233	12	1013789	1014017	0	0	0	0
ARS1234	proARS1234	12	1023967	1024207	0	0	1	1
NA	NA	12	1042798	1043952	0	0	0	0
ARS1303	proARS1303	13	31687	31935	-1	0	-1	-1
ARS1305	proARS1305	13	94216	94463	0	0	0	0
ARS1307	proARS1307	13	137299	137548	0	0	-1	-1
ARS1307.5	NA	13	158846	159279	0	0	1	1
ARS1308	proARS1308	13	183793	184037	0	0	-1	-1
NA	NA	13	227023	227487	0	0	1	1
ARS1309	proARS1309	13	263062	263296	0	0	0	0
ARS1310	proARS1310	13	286782	287067	0	0	-1	0
ARS1312	proARS1312	13	370976	371221	0	0	-1	-1
NA	proARS1314	13	420160	421983	0	0	0	0
NA	proARS1315	13	431453	433827	0	0	0	0
ARS1316	proARS1316	13	468177	468468	0	0	0	0
NA	NA	13	480233	483637	0	0	0	0
ARS1319	proARS1319	13	503346	504087	0	0	0	0
ARS1320	proARS1320	13	535595	535843	-1	0	-1	-1
ARS1322	proARS1322	13	554392	554750	0	0	0	0
NA	NA	13	568128	569097	0	0	0	0
ARS1323	proARS1323	13	611273	611488	0	0	-1	-1
ARS1324	proARS1324	13	634479	634714	0	0	0	0
ARS1325	proARS1325	13	649307	649551	-1	0	-1	-1
NA	proARS1326	13	687903	689917	0	0	1	1
ARS1327	proARS1327	13	758222	758470	0	0	0	0
ARS1328	proARS1328	13	772629	772878	0	0	1	1
ARS1329	proARS1329	13	805116	805338	0	0	0	0
ARS1330	proARS1330	13	815341	815567	-1	0	-1	-1
NA	proARS1331	13	836823	838167	0	0	0	0
NA	NA	13	877553	879907	0	0	0	0
ARS1332	proARS1332	13	897804	898040	-1	0	-1	-1
ARS1406	proARS1406	14	61597	61894	0	0	1	1
ARS1407	proARS1407	14	89528	89802	0	0	0	0
NA	proARS1410	14	125623	127807	0	0	0	0
ARS1411	proARS1411	14	169566	169804	0	0	0	0
ARS1412	proARS1412	14	196055	196291	0	0	1	1
ARS1413	proARS1413	14	250259	250506	0	0	1	1
ARS1414	proARS1414	14	279875	280108	0	0	1	1
ARS1415	proARS1415	14	321917	322210	0	0	-1	-1
NA	NA	14	342963	344117	0	0	0	0
NA	NA	14	348469	355469	0	0	1	0
ARS1417	proARS1417	14	412263	412493	1	0	1	1
ARS1419	proARS1419	14	449343	449588	0	0	0	0
ARS1420	proARS1420	14	498987	499232	0	0	1	1
ARS1421	proARS1421	14	545966	546201	0	0	0	0
ARS1422	proARS1422	14	561106	561384	0	0	-1	-1
NA	proARS1423	14	567715	569020	0	0	0	0
ARS1424	proARS1424	14	609458	609706	0	0	0	0
ARS1426	proARS1426	14	635660	635901	1	0	1	1
ARS1427	proARS1427	14	691482	691727	0	0	0	0
NA	proARS1428	14	712633	714697	0	0	1	1
NA	NA	14	737003	740237	0	0	0	0
ARS1506.5	ARS1531	15	35667	35903	0	0	-1	-1
ARS1507	proARS1507	15	72636	72872	0	0	0	0
ARS1508	proARS1508	15	85195	85444	-1	0	0	0
NA	NA	15	103253	104167	0	0	0	0
ARS1509	proARS1509	15	113843	114084	-1	0	-1	-1
ARS1509.5	NA	15	154972	155462	0	0	0	0
ARS1510	proARS1510	15	166974	167220	-1	0	-1	-1
ARS1510.5	NA	15	227481	228117	0	0	-1	-1
ARS1511	proARS1511	15	277529	277778	0	0	-1	-1
NA	proARS1512	15	308463	310157	0	0	1	1
ARS1513	proARS1513	15	337279	337528	0	0	0	0
NA	NA	15	347633	348862	0	0	0	1
NA	NA	15	371693	372627	0	0	0	0
NA	NA	15	397773	399037	0	0	0	-1
ARS1513.5	ARS1501	15	436732	436966	-1	0	-1	-1
NA	NA	15	463698	464877	0	0	0	0
ARS1514	NA	15	489645	490129	0	0	-1	-1
NA	NA	15	520113	521217	0	0	1	1
ARS1516	ADE2	15	566409	566643	0	0	1	1
ARS1517	ARS1502	15	600885	600960	0	0	1	0
NA	proARS1518	15	616913	618427	0	0	0	0
ARS1519	proARS1519	15	656632	656876	0	0	0	0
NA	proARS1520	15	680823	683197	0	0	1	1
ARS1521	proARS1521	15	729739	729969	0	0	1	1
ARS1523	proARS1522	15	766617	766862	0	0	0	0
ARS1524	proARS1524	15	783344	783563	0	0	1	1
NA	proARS1525	15	854173	856027	0	0	0	0
ARS1526	proARS1526	15	874190	874434	0	0	0	0
ARS1528	proARS1528	15	908288	908537	0	0	0	0
ARS1529	proARS1529	15	981454	981690	0	0	0	0
NA	NA	15	1003760	1018760	0	0	0	0
NA	NA	15	1022548	1023652	0	0	0	0
ARS1529.5	NA	15	1053490	1053901	-1	0	-1	-1
ARS1604	proARS1604	16	42976	43212	0	0	0	0
ARS1605	proARS1605	16	73038	73283	0	0	0	0
NA	proARS1606	16	89758	92975	0	0	0	0
ARS1607	proARS1607	16	116505	116765	0	0	1	1
NA	proARS1608	16	161693	163447	0	0	1	1
NA	NA	16	178643	179827	0	0	0	0
NA	NA	16	194903	196097	0	0	-1	-1
ARS1609	proARS1609	16	210467	211723	0	0	0	0
NA	NA	16	241223	242267	0	0	-1	0
NA	proARS1612	16	261168	262687	1	0	1	1
NA	NA	16	273918	274962	0	0	0	0
ARS1614	proARS1614	16	289483	289704	-1	0	-1	-1
NA	proARS1615	16	303433	305027	0	0	0	0
NA	proARS1616	16	316743	318397	0	0	0	0
NA	proARS1617	16	331043	332607	0	0	1	1
NA	NA	16	369003	369737	0	0	0	0
ARS1618	proARS1618	16	384536	384784	-1	0	-1	-1
ARS1619	proARS1619	16	418132	418359	-1	0	-1	-1
NA	NA	16	427273	428757	0	0	0	0
ARS1620.5	ARS1633	16	456557	456805	0	0	0	0
NA	NA	16	498853	500557	0	0	0	0
ARS1621	proARS1621	16	511619	511940	-1	0	-1	-1
NA	NA	16	552403	554287	0	0	1	1
ARS1622	proARS1622	16	563822	564061	1	0	1	1
NA	NA	16	583493	585147	0	0	1	1
ARS1623	proARS1623	16	633868	634117	0	0	-1	-1
ARS1624	proARS1624	16	684383	684632	-1	0	0	0
ARS1625	proARS1625	16	695432	695681	0	0	1	1
NA	NA	16	728393	729207	0	0	0	1
ARS1626	proARS1626	16	749094	749341	0	0	0	0
ARS1626.5	ARS1635	16	776921	777152	-1	0	-1	-1
ARS1627	proARS1627	16	819153	819393	0	0	0	0
ARS1628	proARS1628	16	842646	842894	0	0	0	0
ARS1630	proARS1630	16	880854	881102	0	0	0	0
ARS1631	proARS1631	16	932976	933223	0	0	0	0
NA	proARS1632	16	940923	943157	0	0	-1	-1
